Site Occupation Location,SubOc1,New Comp,Period,Period No.,Period Start,Period End,Estimated Span,Area (ha),Population
81,A,,A,11,1300,1440,140,0.4,20
81,A,,M,12,1440,1520,80,0.4,20
82,A,,A,11,1300,1440,140,0.1,5
83,A,,M,12,1440,1520,80,0.1,5
84,A,,TF,4,-100,200,300,0.1,5
84,A,,EC,5,200,300,100,0.1,5
84,A,,MC,6,300,450,150,0.1,5
84,B,,EPC,9,850,1150,300,0.1,5
85,A,,LF,3,-500,-100,400,0.1,5
85,A,,TF,4,-100,200,300,0.1,5
85,A,,EC,5,200,300,100,0.1,5
85,A,,MC,6,300,450,150,0.1,5
85,A,,LC,7,450,600,150,0.1,5
85,A,,Epi,8,600,850,250,0.1,5
86,A,,EC,5,200,300,100,0.4,20
86,B,,Epi,8,600,850,250,0.4,20
86,B,,EPC,9,850,1150,300,0.7,35
86,C,,A,11,1300,1440,140,0.4,20
86,C,,M,12,1440,1520,80,0.7,35
87,A,,LF,3,-500,-100,400,0.1,5
87,B,,EC,5,200,300,100,0.2,10
87,B,,MC,6,300,450,150,0.2,10
87,B,,LC,7,450,600,150,0.2,10
88,A,,TF,4,-100,200,300,0.1,5
88,A,,EC,5,200,300,100,0.1,5
88,A,,MC,6,300,450,150,0.1,5
88,A,,LC,7,450,600,150,0.1,5
89,A,,TF,4,-100,200,300,0.2,10
89,A,,EC,5,200,300,100,0.2,10
89,A,,MC,6,300,450,150,0.2,10
89,B,,EPC,9,850,1150,300,0.1,5
89,B,,P,10,1150,1300,150,0.2,10
90,A,,A,11,1300,1440,140,0.1,5
91,A,,EPC,9,850,1150,300,0.1,5
91,B,,M,12,1440,1520,80,0.1,5
92,A,,EC,5,200,300,100,0.2,10
92,A,,MC,6,300,450,150,0.2,10
92,B,,P,10,1150,1300,150,0.2,10
93,A,,TF,4,-100,200,300,0.1,5
93,A,,EC,5,200,300,100,0.1,5
93,A,,MC,6,300,450,150,0.1,5
93,A,,LC,7,450,600,150,0.1,5
93,B,,P,10,1150,1300,150,0.1,5
94,A,,EC,5,200,300,100,0.1,5
94,A,,MC,6,300,450,150,0.1,5
95,A,,TF,4,-100,200,300,0.4,20
95,A,,EC,5,200,300,100,0.4,20
95,A,,MC,6,300,450,150,0.4,20
95,A,,LC,7,450,600,150,0.2,10
95,B,,EPC,9,850,1150,300,0.2,10
95,C,,M,12,1440,1520,80,0.4,20
96,A,,TF,4,-100,200,300,0.1,5
96,A,,EC,5,200,300,100,0.2,10
96,A,,MC,6,300,450,150,0.2,10
96,A,,LC,7,450,600,150,0.1,5
96,B,,EPC,9,850,1150,300,0.1,5
97,A,,TF,4,-100,200,300,0.2,10
97,A,,EC,5,200,300,100,0.2,10
97,A,,MC,6,300,450,150,0.2,10
97,A,,LC,7,450,600,150,0.1,5
98,A,,A/M,12,1300,1520,220,0,5
99,A,,EF,1,-1500,-1100,400,0.3,15
99,A,,MF,2,-1100,-500,600,0.8,40
99,A,,LF,3,-500,-100,400,1.5,75
99,A,,TF,4,-100,200,300,16.6,830
99,A,,EC,5,200,300,100,23.8,1190
99,A,,MC,6,300,450,150,22,1100
99,A,,LC,7,450,600,150,16.8,840
100,A,,TF,4,-100,200,300,0.3,15
100,A,,EC,5,200,300,100,0.3,15
100,A,,MC,6,300,450,150,0.3,15
100,B,,P,10,1150,1300,150,0.3,15
101,A,,TF,4,-100,200,300,0.9,45
101,A,,EC,5,200,300,100,0.9,45
101,A,,MC,6,300,450,150,0.9,45
101,A,,LC,7,450,600,150,0.9,45
102,A,,MF,2,-1100,-500,600,0.2,10
102,A,,LF,3,-500,-100,400,1.6,80
102,B,,EC,5,200,300,100,0.1,5
102,B,,MC,6,300,450,150,0.1,5
103,A,,MF,2,-1100,-500,600,0.7,35
103,A,,LF,3,-500,-100,400,2.8,140
103,A,,TF,4,-100,200,300,0.5,25
103,A,,EC,5,200,300,100,2.5,125
103,A,,MC,6,300,450,150,2.5,125
103,A,,LC,7,450,600,150,0.5,25
103,A,,Epi,8,600,850,250,0,0
103,A,,EPC,9,850,1150,300,0.7,35
104,A,,TF,4,-100,200,300,0.5,25
104,A,,EC,5,200,300,100,0.5,25
104,A,,MC,6,300,450,150,0.5,25
104,A,,LC,7,450,600,150,0.5,25
104,A,,Epi,8,600,850,250,0.4,20
104,A,,EPC,9,850,1150,300,0.4,20
105,A,,TF,4,-100,200,300,0.1,5
105,A,,EC,5,200,300,100,0.1,5
105,A,,MC,6,300,450,150,0.1,5
105,A,,LC,7,450,600,150,0.1,5
106,A,,LF,3,-500,-100,400,0.2,10
106,A,,TF,4,-100,200,300,0.5,25
106,A,,EC,5,200,300,100,0.5,25
106,A,,MC,6,300,450,150,0.5,25
106,A,,LC,7,450,600,150,0.5,25
106,B,,EPC,9,850,1150,300,0.3,15
106,C,,M,12,1440,1520,80,0.3,15
107,A,,EC,5,200,300,100,1.8,90
107,A,,MC,6,300,450,150,1.8,90
107,A,,LC,7,450,600,150,1.8,90
107,B,714,P,10,1150,1300,150,0.8,40
107,B,,P,10,1150,1300,150,0.9,45
107,B,713,A,11,1300,1440,140,0.6,30
107,B,,A,11,1300,1440,140,8.5,425
107,B,712,M,12,1440,1520,80,0.6,30
107,B,,M,12,1440,1520,80,11.4,570
108,A,,EC,5,200,300,100,2.6,130
108,A,,MC,6,300,450,150,2.6,130
108,A,,LC,7,450,600,150,2.6,130
108,B,,A,11,1300,1440,140,28.3,1415
108,B,,M,12,1440,1520,80,28.3,1415
109,A,,A/M,12,1300,1520,220,0.1,5
110,A,,A,11,1300,1440,140,0.1,5
110,A,,M,12,1440,1520,80,0.1,5
111,A,,A,11,1300,1440,140,0.1,5
111,A,,M,12,1440,1520,80,0.1,5
112,A,,EC,5,200,300,100,0.3,15
112,A,,MC,6,300,450,150,0.3,15
112,B,,EPC,9,850,1150,300,0.3,15
112,C,,A,11,1300,1440,140,0.5,25
112,C,,M,12,1440,1520,80,0.7,35
113,A,,Epi,8,600,850,250,0.9,45
113,B,,P,10,1150,1300,150,0.5,25
114,A,,P,10,1150,1300,150,0.1,5
115,A,,EC,5,200,300,100,0.1,5
115,A,,MC,6,300,450,150,0.1,5
115,A,,LC,7,450,600,150,0.1,5
115,B,,P,10,1150,1300,150,0.1,5
116,A,,EC,5,200,300,100,0.1,5
116,A,,MC,6,300,450,150,0.1,5
116,A,,LC,7,450,600,150,0.1,5
117,A,,TF,4,-100,200,300,0.1,5
117,A,,EC,5,200,300,100,0.1,5
117,A,,MC,6,300,450,150,0.1,5
118,A,,EF,1,-1500,-1100,400,0.1,5
118,B,,LF,3,-500,-100,400,0.1,5
118,C,,EC,5,200,300,100,0.9,45
118,C,,MC,6,300,450,150,0.9,45
118,C,,LC,7,450,600,150,0.1,5
118,C,,Epi,8,600,850,250,0,0
118,D,,P,10,1150,1300,150,0.3,15
118,D,,A,11,1300,1440,140,0.8,40
118,D,,M,12,1440,1520,80,0.8,40
119,A,,P,10,1150,1300,150,0.1,5
119,A,,A,11,1300,1440,140,0.2,10
119,A,,M,12,1440,1520,80,0.2,10
120,A,,A,11,1300,1440,140,0.7,35
120,A,,M,12,1440,1520,80,1,50
121,A,,A,11,1300,1440,140,0.3,15
121,A,,M,12,1440,1520,80,0.5,25
122,A,,EPC,9,850,1150,300,0.5,25
122,A,,P,10,1150,1300,150,0.5,25
122,A,,A,11,1300,1440,140,0.5,25
122,A,,M,12,1440,1520,80,0.5,25
123,A,,TF,4,-100,200,300,0.1,5
123,A,,EC,5,200,300,100,0.1,5
123,A,,MC,6,300,450,150,0.1,5
123,A,,LC,7,450,600,150,0.1,5
123,B,,A,11,1300,1440,140,0.4,20
123,B,,M,12,1440,1520,80,0.4,20
124,A,,Epi,8,600,850,250,0.2,10
124,A,,EPC,9,850,1150,300,0.2,10
124,A,,P,10,1150,1300,150,0.2,10
124,A,,A,11,1300,1440,140,0.3,15
124,A,,M,12,1440,1520,80,0.3,15
125,A,,EC,5,200,300,100,0.1,5
125,B,,Epi,8,600,850,250,0.1,5
125,B,,EPC,9,850,1150,300,0.1,5
126,A,,MF,2,-1100,-500,600,4.4,220
126,A,,LF,3,-500,-100,400,34,1700
126,A,900,TF,4,-100,200,300,2.9,145
126,A,,TF,4,-100,200,300,19.7,985
126,A,,EC,5,200,300,100,54.7,2735
126,A,,MC,6,300,450,150,48.9,2445
126,A,901,LC,7,450,600,150,0.9,45
126,A,902,LC,7,450,600,150,1,50
126,A,903,LC,7,450,600,150,1.2,60
126,A,,LC,7,450,600,150,5.5,275
126,A,598,Epi,8,600,850,250,3.2,160
126,A,599,Epi,8,600,850,250,1.1,55
126,A,700,Epi,8,600,850,250,4.8,240
126,A,,Epi,8,600,850,250,34,1700
126,A,,EPC,9,850,1150,300,54.7,2735
126,A,701,P,10,1150,1300,150,2.8,140
126,A,702,P,10,1150,1300,150,0.6,30
126,A,703,P,10,1150,1300,150,8.6,430
126,A,,P,10,1150,1300,150,0.3,15
126,A,704,A,11,1300,1440,140,32.2,1610
126,A,,A,11,1300,1440,140,0.3,15
126,A,502,M,12,1440,1520,80,3.5,175
126,A,,M,12,1440,1520,80,24.8,1240
127,A,700,Epi,8,600,850,250,4.8,240
127,A,,Epi,8,600,850,250,0.3,15
127,A,,EPC,9,850,1150,300,0.7,35
127,A,,P,10,1150,1300,150,0.3,15
127,A,,A,11,1300,1440,140,0.5,25
127,A,,M,12,1440,1520,80,0.3,15
128,A,,LF,3,-500,-100,400,0.2,10
128,B,,EC,5,200,300,100,0.3,15
128,B,,MC,6,300,450,150,0.3,15
128,C,,Epi,8,600,850,250,0.2,10
128,C,,EPC,9,850,1150,300,0.3,15
128,D,,A,11,1300,1440,140,0.3,15
128,D,,M,12,1440,1520,80,0.3,15
129,A,,MF,2,-1100,-500,600,0.4,20
129,A,,LF,3,-500,-100,400,2.3,115
129,A,,TF,4,-100,200,300,1.9,95
129,A,,EC,5,200,300,100,4.4,220
129,A,,MC,6,300,450,150,4.4,220
129,A,,LC,7,450,600,150,0.8,40
130,A,,LF,3,-500,-100,400,0.1,5
130,A,,TF,4,-100,200,300,0.1,5
130,A,,EC,5,200,300,100,0.1,5
131,A,,TF,4,-100,200,300,0.1,5
131,A,,EC,5,200,300,100,0.1,5
131,A,,MC,6,300,450,150,0.1,5
131,B,,Epi,8,600,850,250,0.1,5
131,C,,M,12,1440,1520,80,0.1,5
132,A,,EC,5,200,300,100,0.1,5
132,A,,MC,6,300,450,150,0.1,5
132,B,,Epi,8,600,850,250,0.1,5
132,B,,EPC,9,850,1150,300,0.1,5
133,A,,MF,2,-1100,-500,600,0.2,10
133,A,,LF,3,-500,-100,400,2.4,120
133,A,,TF,4,-100,200,300,1.5,75
133,A,,EC,5,200,300,100,1.7,85
133,A,,MC,6,300,450,150,1.7,85
133,A,,LC,7,450,600,150,0.8,40
133,A,723,Epi,8,600,850,250,2.6,130
133,A,,Epi,8,600,850,250,0.3,15
133,A,,EPC,9,850,1150,300,0.3,15
133,A,,P,10,1150,1300,150,0.3,15
133,A,,A,11,1300,1440,140,8.8,440
133,A,,M,12,1440,1520,80,9,450
134,A,,M,12,1440,1520,80,0.6,30
135,A,,TF,4,-100,200,300,0.1,5
135,A,,EC,5,200,300,100,0.1,5
135,A,,MC,6,300,450,150,0.1,5
135,A,,LC,7,450,600,150,0.1,5
136,A,,P,10,1150,1300,150,0.1,5
136,B,,M,12,1440,1520,80,0.1,5
137,A,,EPC,9,850,1150,300,0.2,10
137,B,,A,11,1300,1440,140,0.2,10
138,A,,TF,4,-100,200,300,0.1,5
138,A,,EC,5,200,300,100,0.2,10
138,A,,MC,6,300,450,150,0.2,10
138,A,,LC,7,450,600,150,0.2,10
138,B,,A,11,1300,1440,140,0.2,10
139,A,,MF,2,-1100,-500,600,2.1,105
139,A,,LF,3,-500,-100,400,2.9,145
139,A,,TF,4,-100,200,300,4.6,230
139,A,,EC,5,200,300,100,5.5,275
139,A,,MC,6,300,450,150,5.5,275
139,A,,LC,7,450,600,150,2.1,105
139,B,,EPC,9,850,1150,300,0.3,15
139,C,,M,12,1440,1520,80,3.7,185
140,A,,MF,2,-1100,-500,600,0.1,5
140,B,,TF,4,-100,200,300,1.2,60
140,B,,EC,5,200,300,100,4.8,240
140,B,,MC,6,300,450,150,4.8,240
140,B,,LC,7,450,600,150,0.6,30
140,B,,Epi,8,600,850,250,0,0
