Site,Begin,End,Estimated.Total.Span,Peak.Pop
AZ D:11:1153,550,1000,450,11
AZ D:11:1170,550,1200,650,
AZ D:11:15,550,1100,550,
AZ D:11:18,600,1100,500,
AZ D:11:19,1075,1175,100,
AZ D:11:2,1050,1200,150,
AZ D:11:20,1075,1175,100,
AZ D:11:2023 St 1,600,1000,400,3
AZ D:11:2027 St 2,600,950,350,6
AZ D:11:2051 St 5,1150,1225,75,9
AZ D:11:2068 St 4,600,950,350,3
AZ D:11:22,1075,1175,100,
AZ D:11:266,1000,1200,200,
AZ D:11:275,550,1175,625,9
AZ D:11:279,1000,1175,175,
AZ D:11:290,600,1175,575,25
AZ D:11:298,550,1175,625,
AZ D:11:3,1050,1200,150,
AZ D:11:300,825,1300,475,
AZ D:11:324,550,1200,650,3
AZ D:11:325,550,1175,625,
AZ D:11:326,1000,1175,175,
AZ D:11:327,1000,1200,200,
AZ D:11:328,550,1175,625,
AZ D:11:329,550,1175,625,
AZ D:11:330,550,1175,625,
AZ D:11:331,550,1175,625,
AZ D:11:332,550,1175,625,
AZ D:11:334,550,1175,625,
AZ D:11:335,1000,1100,100,
AZ D:11:336,550,1050,500,
AZ D:11:338,550,1050,500,9
AZ D:11:339,550,1100,550,
AZ D:11:348,700,1175,475,5
AZ D:11:352,600,1175,575,7
AZ D:11:354,600,1100,500,3
AZ D:11:356,600,1175,575,6
AZ D:11:409,850,1175,325,9
AZ D:11:425,1050,1200,150,5
AZ D:11:554,850,1100,250,
AZ D:11:73,550,1050,500,
AZ D:11:814,550,1000,450,5
AZ D:11:879,1000,1175,175,2
AZ D:11:97,1000,1175,175,2
AZ D:13:1,550,950,400,3
AZ D:7:11 PH1,850,1050,200,
AZ D:7:134,550,1000,450,10
AZ D:7:135,550,925,375,18
AZ D:7:136,600,1050,450,
AZ D:7:2092,1050,1225,175,10
AZ D:7:216 St 1,600,1000,400,8
AZ D:7:234 St 2,850,1050,200,8
AZ D:9:1,1025,1175,150,3
AZ D:9:10,1075,1250,175,4
AZ D:9:11,550,950,400,
AZ D:9:12,600,950,350,24
AZ D:9:13,825,1000,175,6
AZ D:9:14,825,950,125,10
AZ D:9:15,700,1000,300,30
AZ D:9:16,600,1225,625,35
AZ D:9:17,1200,1300,100,
AZ D:9:18,1200,1300,100,
AZ D:9:19,550,950,400,
AZ D:9:2,625,850,225,9
AZ D:9:21,1150,1225,75,
AZ D:9:22,1075,1175,100,9
AZ D:9:23,1375,1450,75,
AZ D:9:24,850,1175,325,15
AZ D:9:25,600,950,350,
AZ D:9:26,550,1175,625,3
AZ D:9:8,1075,1200,125,9
AZ D:9:9,1075,1175,100,1
AZ DD:15:10; Sauer and Brand 23,700,1150,450,
AZ E:2:1,750,1300,550,12
AZ E:2:10,550,950,400,
AZ E:2:11,1050,1300,250,
AZ E:2:12,825,1000,175,
AZ E:2:2,875,1300,425,20
AZ E:2:3,1050,1300,250,30
AZ E:2:4,1050,1325,275,13
AZ E:2:5,750,1300,550,15
AZ E:2:6,750,1300,550,
AZ E:2:7,825,1000,175,3
AZ E:2:8,750,1300,550,3
AZ E:2:9,550,1100,550,
AZ E:6:1,1050,1300,250,35
AZ E:6:10,1050,1300,250,
AZ E:6:11,1050,1300,250,
AZ E:6:12,875,1300,425,9
AZ E:6:13,825,1200,375,
AZ E:6:14,825,1300,475,
AZ E:6:15,1050,1300,250,
AZ E:6:16,875,1300,425,
AZ E:6:17,875,1300,425,
AZ E:6:18,1075,1175,100,2
AZ E:6:19,1050,1300,250,
AZ E:6:2,1050,1300,250,
AZ E:6:20,1050,1300,250,
AZ E:6:21,875,1300,425,
AZ E:6:22,1075,1175,100,
AZ E:6:23,550,1225,675,
AZ E:6:24,1075,1175,100,
AZ E:6:25,600,1300,700,
AZ E:6:26,1050,1175,125,
AZ E:6:27,1000,1175,175,
AZ E:6:28,550,1300,750,2
AZ E:6:29,600,1300,700,3
AZ E:6:3,1050,1175,125,
AZ E:6:31,550,1300,750,
AZ E:6:32,625,1100,475,
AZ E:6:33,875,1300,425,
AZ E:6:34,1100,1300,200,3
AZ E:6:35,550,1100,550,
AZ E:6:36,825,1300,475,
AZ E:6:4,1075,1300,225,
AZ E:6:5,825,1300,475,
AZ E:6:6,600,1200,600,
AZ E:6:7,1050,1300,250,
AZ E:6:8,875,1300,425,16
AZ E:6:9,825,1300,475,
AZ EE:2:105 (ASM),850,1150,300,84
AZ EE:2:107 (ASM),950,1150,200,15
AZ EE:2:113 (ASM),850,1150,300,36
AZ EE:2:77 (ASM),950,1150,200,24
AZ I:1:17,950,1175,225,12
AZ I:3:1,950,1175,225,9
AZ J:01:10,1075,1225,150,6
AZ J:01:11,1075,1225,150,6
AZ J:01:15,1075,1300,225,
AZ J:01:16,1050,1175,125,
AZ J:01:18,600,950,350,
AZ J:01:23,550,850,300,
AZ J:01:24,600,1225,625,
AZ J:01:26,600,1100,500,21
AZ J:01:27,1075,1225,150,
AZ J:10:2,600,950,350,
AZ J:11:12,1100,1250,150,3
AZ J:11:13,1100,1250,150,
AZ J:11:23,1000,1250,250,
AZ J:11:24,1150,1250,100,
AZ J:11:7,1025,1150,125,3
AZ J:11:8,1100,1250,150,3
AZ J:11:9,1000,1150,150,6
AZ J:12:1,1050,1250,200,1
AZ J:12:10,1100,1250,150,9
AZ J:12:11,1050,1150,100,30
AZ J:12:13,1100,1250,150,3
AZ J:12:14,850,925,75,6
AZ J:12:15,1100,1250,150,
AZ J:12:18,1075,1175,100,
AZ J:12:19,550,1250,700,
AZ J:12:2,1050,1150,100,
AZ J:12:21,1100,1250,150,40
AZ J:12:3,1100,1250,150,6
AZ J:12:6,1100,1250,150,18
AZ J:12:7,1100,1250,150,
AZ J:12:9,550,950,400,3
AZ J:14:000,825,1400,575,
AZ J:14:020,1300,1450,150,
AZ J:14:022,1300,1450,150,
AZ J:14:025,600,1250,650,
AZ J:14:026,1250,1400,150,
AZ J:14:027,625,850,225,1
AZ J:14:028,825,1000,175,
AZ J:14:029,1050,1450,400,
AZ J:14:031,1050,1300,250,
AZ J:14:036,1050,1175,125,9
AZ J:14:037,1100,1250,150,
AZ J:14:040,1100,1300,200,
AZ J:14:046,1250,1300,50,
AZ J:14:048,1050,1450,400,1
AZ J:14:049,1100,1250,150,
AZ J:14:054,600,1400,800,
AZ J:14:062,825,1250,425,
AZ J:14:064,1000,1175,175,
AZ J:14:065,1100,1225,125,
AZ J:14:068,825,1275,450,3
AZ J:14:069,1000,1425,425,
AZ J:14:071,1100,1250,150,
AZ J:14:074,825,1450,625,
AZ J:14:075,1075,1300,225,
AZ J:14:078,1100,1250,150,1
AZ J:14:090,825,1450,625,
AZ J:14:093,1100,1450,350,
AZ J:14:097,825,1000,175,
AZ J:14:101,1300,1450,150,
AZ J:14:128,600,1400,800,
AZ J:14:131,1300,1400,100,
AZ J:14:133,700,1300,600,
AZ J:14:138,1300,1400,100,
AZ J:14:143,1100,1400,300,
AZ J:14:145,1050,1425,375,
AZ J:14:149,1100,1250,150,3
AZ J:14:177,1300,1450,150,
AZ J:14:211,1000,1200,200,3
AZ J:14:219,875,1325,450,3
AZ J:14:243,1075,1300,225,1
AZ J:14:252,1075,1225,150,
AZ J:14:262,1100,1400,300,
AZ J:14:275,1100,1225,125,
AZ J:14:283,1050,1400,350,
AZ J:14:301,850,1375,525,
AZ J:18:5,1150,1300,150,
AZ J:19:12,1025,1250,225,
AZ J:19:13,1050,1250,200,
AZ J:19:3,1050,1250,200,
AZ J:19:6,1100,1250,150,
AZ J:19:9,1100,1250,150,
AZ J:31:2,1200,1300,100,
AZ J:31:3,875,1100,225,
AZ J:31:8,1150,1300,150,
AZ J:35:31,1050,1200,150,
AZ J:43:13,1025,1225,200,
AZ J:43:15,1050,1200,150,
AZ J:43:17,700,950,250,3
AZ J:43:18,1000,1175,175,
AZ J:43:19,1050,1200,150,
AZ J:43:23,1025,1200,175,3
AZ J:43:4,600,950,350,2
AZ J:48:34,1025,1100,75,3
AZ J:54:10,600,925,325,
AZ J:54:12,625,950,325,24
AZ J:54:13,850,1225,375,3
AZ J:54:14,600,950,350,18
AZ J:54:2,825,1200,375,6
AZ J:54:3,1050,1300,250,3
AZ J:54:4,600,950,350,3
AZ J:54:6,600,950,350,9
AZ J:54:7,625,950,325,9
AZ J:54:8,600,950,350,15
AZ J:54:9,600,1000,400,3
AZ J:55:19,825,1200,375,3
AZ J:55:2,1075,1300,225,
AZ J:55:4,1100,1300,200,
AZ J:55:9,700,1175,475,3
AZ J:57:20,1150,1225,75,3
AZ J:58:4,1050,1300,250,15
AZ J:58:59,825,1000,175,3
AZ J:58:6,1075,1300,225,15
AZ J:58:7,1075,1200,125,
AZ J:58:9,1200,1300,100,7
AZ J:9:6,1050,1175,125,
AZ K:10:33,850,925,75,3
AZ K:10:34,700,1150,450,24
AZ K:10:35,550,950,400,
AZ K:10:36,1000,1150,150,3
AZ K:10:39,1000,1150,150,
AZ K:10:40,550,950,400,6
AZ K:10:41,850,925,75,9
AZ K:10:42,1050,1250,200,
AZ K:10:43,1050,1150,100,3
AZ K:10:45,1050,1150,100,6
AZ K:10:47,1050,1150,100,36
AZ K:10:48,875,1150,275,5
AZ K:10:51,1050,1150,100,5
AZ K:10:52,1000,1150,150,6
AZ K:10:54,550,950,400,9
AZ K:10:55,850,925,75,6
AZ K:10:56,1075,1300,225,3
AZ K:10:57,825,1000,175,3
AZ K:10:59,850,1000,150,21
AZ K:10:61,1050,1300,250,4
AZ K:11:11,600,950,350,3
AZ K:11:13,875,1150,275,3
AZ K:11:14,1050,1150,100,6
AZ K:11:15,1100,1300,200,5
AZ K:11:16,850,1100,250,9
AZ K:11:17,850,1000,150,3
AZ K:11:18,850,1050,200,3
AZ K:11:19,1000,1150,150,6
AZ K:11:21,700,1150,450,15
AZ K:11:22,550,750,200,3
AZ K:11:23,875,1150,275,9
AZ K:11:24,600,950,350,3
AZ K:11:29,1050,1150,100,5
AZ K:11:30,875,1100,225,
AZ K:11:31,1000,1150,150,5
AZ K:11:32,875,1150,275,3
AZ K:11:33,850,1150,300,6
AZ K:11:35,850,1000,150,6
AZ K:11:37,1000,1150,150,6
AZ K:11:4,1050,1150,100,18
AZ K:11:43,1050,1150,100,12
AZ K:11:6,1050,1150,100,12
AZ K:11:8,1050,1150,100,5
AZ K:11:9,1050,1150,100,15
AZ K:14:24,1025,1200,175,10
AZ K:14:35,1000,1150,150,6
AZ K:15:14,700,1000,300,
AZ K:15:16,925,1150,225,
AZ K:15:17,875,1150,275,
AZ K:15:24,1050,1150,100,
AZ K:15:25,1050,1275,225,
AZ K:15:26,1050,1150,100,
AZ K:15:27,1025,1150,125,
AZ K:15:28,1000,1300,300,
AZ K:25:23,1075,1250,175,
AZ K:25:24,1075,1175,100,3
AZ K:25:25,1150,1225,75,3
AZ K:25:26,1000,1175,175,3
AZ K:25:27,1075,1175,100,9
AZ K:25:29,1000,1100,100,3
AZ K:25:30,1050,1225,175,3
AZ K:40:12,1025,1200,175,3
AZ K:40:19,1000,1100,100,3
AZ K:6:10,875,1175,300,
AZ K:6:14,1025,1300,275,20
AZ K:6:15,1200,1300,100,10
AZ K:6:16,600,950,350,6
AZ K:6:19,1050,1250,200,
AZ K:6:20,825,1000,175,
AZ K:6:21,875,1200,325,
AZ K:6:22,1050,1200,150,4
AZ K:6:3,1075,1175,100,
AZ K:6:31,1050,1250,200,3
AZ K:6:37,1025,1150,125,9
AZ K:6:38,1050,1150,100,
AZ K:6:39,875,1150,275,6
AZ K:6:4,1025,1175,150,24
AZ K:6:41,1050,1150,100,
AZ K:6:42,1050,1150,100,
AZ K:6:43,1025,1150,125,
AZ K:6:46,1050,1175,125,
AZ K:6:47,1000,1150,150,
AZ K:6:48,875,1050,175,3
AZ K:6:5,875,1300,425,6
AZ K:6:6,600,1225,625,
AZ K:7:16,1050,1150,100,
AZ K:7:18,600,825,225,3
AZ K:8:153,1050,1300,250,30
AZ K:8:2,1025,1300,275,14
AZ K-10-13,1100,1300,200,32
AZ O:10:32,1050,1250,200,45
AZ O:10:33,1050,1150,100,18
AZ O:10:34,1375,1625,250,
AZ O:10:35,1050,1450,400,
AZ O:10:36,1000,1225,225,
AZ O:10:37,1050,1175,125,
AZ O:10:38,1100,1625,525,
AZ O:10:39,1075,1225,150,
AZ O:48:24,925,1050,125,12
AZ P:11:124 (ASU),1050,1300,250,45
AZ P:11:130 (ASU),1075,1200,125,50
AZ P:11:55 (ASU),1050,1300,250,15
AZ P:11:57 (ASU),1000,1175,175,40
AZ P:12:105 (ASU),1000,1300,300,30
AZ P:12:404 (ASM),825,1100,275,
AZ P:12:76 (ASU),1050,1175,125,30
AZ P:12:99 (ASU),1050,1300,250,65
AZ P:14:281,1325,1400,75,
AZ P:16:160 (ASM),1050,1200,150,12
AZ P:24:1,550,925,375,9
AZ P:37:46 PI component,600,925,325,
AZ P:37:46 PII component,1050,1150,100,
AZ P:39:15,1000,1100,100,
AZ P:39:17,1050,1200,150,
AZ P:39:7,1000,1100,100,
AZ P:42:18,1050,1150,100,
AZ P:42:2,1050,1100,50,
AZ P:42:7,1025,1100,75,
AZ P:42:9,1000,1100,100,
AZ P-54-179,1000,1150,150,4
AZ P-54-196,1050,1150,100,6
AZ Q:1:037,700,850,150,6
AZ Q:1:042,700,850,150,9
AZ Q:1:057,850,925,75,3
AZ Q:1:064,700,925,225,6
AZ Q:1:065,850,925,75,12
AZ Q:1:086,850,925,75,6
AZ Q:1:089,700,850,150,3
AZ Q:1:095,700,925,225,
AZ Q:1:148,700,925,225,3
AZ Q:1:168,600,850,250,6
AZ Q:1:188,825,1000,175,3
AZ Q:1:214,850,925,75,12
AZ Q:1:402,700,1050,350,1
AZ Q:1:404,600,850,250,6
AZ Q:1:405,700,850,150,5
AZ Q:1:415,550,850,300,6
AZ Q:1:421,700,925,225,6
AZ Q:1:422,850,925,75,3
AZ Q:1:46,600,850,250,30
AZ Q:1:517,1250,1400,150,
AZ Q:1:518,1050,1200,150,
AZ Q:1:519,1050,1200,150,
AZ Q:1:520,1200,1325,125,
AZ Q:1:521,1175,1300,125,
AZ Q:1:523,1300,1400,100,
AZ Q:1:524,1250,1400,150,
AZ Q:1:525,1050,1200,150,
AZ Q:1:526,1100,1300,200,
AZ Q:1:527,1175,1300,125,
AZ Q:1:528,1175,1300,125,
AZ Q:1:529,1300,1400,100,
AZ Q:1:530,1200,1450,250,
AZ Q:1:531,1050,1300,250,
AZ Q:1:532,1250,1400,150,
AZ Q:1:534,1250,1400,150,
AZ Q:1:535,1250,1400,150,
AZ Q:1:536,1100,1450,350,
AZ Q:1:537,550,1400,850,
AZ Q:1:538,1175,1300,125,
AZ Q:1:539,1050,1150,100,
AZ Q:1:540,1175,1300,125,
AZ Q:1:541,1100,1300,200,
AZ Q:1:542,1250,1400,150,
AZ Q:1:543,1250,1400,150,
AZ Q:1:544,1050,1300,250,
AZ Q:1:546,1050,1200,150,
AZ Q:1:547,1050,1300,250,
AZ Q:1:548,1175,1300,125,
AZ Q:1:549,1100,1275,175,
AZ Q:1:550,1100,1300,200,
AZ Q:1:551,1275,1400,125,
AZ Q:1:552,1250,1400,150,
AZ Q:11:42,1100,1400,300,17
AZ Q:11:44,875,1175,300,55
AZ Q:15:9,1200,1300,100,100
AZ Q:16:3,1050,1300,250,75
AZ Q:2:1,1050,1150,100,4
AZ Q:2:10,1050,1175,125,5
AZ Q:2:11,700,1200,500,6
AZ Q:2:12,550,1200,650,9
AZ Q:2:13,875,1300,425,3
AZ Q:2:14,550,1200,650,6
AZ Q:2:15,850,1225,375,3
AZ Q:2:16,1025,1300,275,
AZ Q:2:163,1300,1400,100,
AZ Q:2:164,1250,1450,200,
AZ Q:2:165,550,950,400,
AZ Q:2:167,1050,1250,200,
AZ Q:2:17,1075,1300,225,
AZ Q:2:171,1250,1400,150,
AZ Q:2:172,1300,1450,150,
AZ Q:2:173,1250,1400,150,
AZ Q:2:174,1250,1400,150,
AZ Q:2:175,1250,1400,150,
AZ Q:2:176,1250,1400,150,
AZ Q:2:177,1300,1400,100,
AZ Q:2:18,1025,1200,175,60
AZ Q:2:2,1050,1200,150,
AZ Q:2:3,1050,1200,150,
AZ Q:2:4,875,1300,425,
AZ Q:2:5,1050,1300,250,15
AZ Q:2:51,1250,1400,150,
AZ Q:2:52,1275,1450,175,
AZ Q:2:53,1275,1400,125,
AZ Q:2:54,550,1300,750,
AZ Q:2:55,1200,1300,100,
AZ Q:2:56,550,1400,850,
AZ Q:2:57,1250,1450,200,
AZ Q:2:58,1250,1400,150,
AZ Q:2:6,1025,1200,175,45
AZ Q:2:61,1200,1300,100,
AZ Q:2:62,1200,1300,100,
AZ Q:2:63,1250,1400,150,
AZ Q:2:64,1050,1300,250,
AZ Q:2:65,1100,1400,300,
AZ Q:2:66,1275,1450,175,
AZ Q:2:7,1050,1200,150,
AZ Q:2:8,1100,1300,200,75
AZ Q:2:9,550,1200,650,
AZ Q:3:10,1100,1300,200,
AZ Q:3:11,1050,1300,250,
AZ Q:3:12,875,1300,425,5
AZ Q:3:13,550,1125,575,
AZ Q:3:15,1100,1300,200,
AZ Q:3:16,850,1275,425,
AZ Q:3:17,550,925,375,
AZ Q:3:18,550,925,375,
AZ Q:3:19,550,925,375,
AZ Q:3:20,550,950,400,
AZ Q:3:21,1050,1300,250,
AZ Q:3:22,1050,1300,250,
AZ Q:3:23,1050,1200,150,
AZ Q:3:24,1050,1300,250,
AZ Q:3:25,1050,1275,225,
AZ Q:3:26,1100,1300,200,
AZ Q:3:27,1050,1300,250,
AZ Q:3:28,1100,1300,200,15
AZ Q:3:29,1200,1300,100,6
AZ Q:3:3,550,925,375,
AZ Q:3:30,1050,1325,275,10
AZ Q:3:31,1075,1300,225,
AZ Q:3:32,1200,1300,100,5
AZ Q:3:33,1200,1325,125,4
AZ Q:3:34,550,925,375,
AZ Q:3:35,550,925,375,
AZ Q:3:36,1200,1300,100,4
AZ Q:3:37,550,1300,750,
AZ Q:3:38,1175,1300,125,12
AZ Q:3:39,1200,1300,100,6
AZ Q:3:4,550,925,375,
AZ Q:3:40,1025,1300,275,7
AZ Q:3:41,1050,1300,250,
AZ Q:3:42,1050,1300,250,
AZ Q:3:43,550,1150,600,
