Site Occupation Location,Toponyms,SubOcc1,Start Date,End Date,Estimated Span,Area (ha)
161,Tell Hadhail,A,-2500,-1450,1050,90
162,Tell Khoshi,A,-2500,-1000,1500,92
163,Tell ar-Rimah,A,-2000,-1000,1000,33
165,Tell Sharisi,A,-2700,-1200,1500,98
187,Nineveh,A,-4000,-3800,200,5
187,Nineveh,A,-3800,-3700,100,10
187,Nineveh,A,-3700,-3600,100,20
187,Nineveh,A,-3600,-3500,100,30
187,Nineveh,A,-3500,-1000,2500,40
190,Abu Kula,A,-3100,-2550,550,8
190,Abu Kula,A,-2550,-1500,1050,10
191,Tall al-Shaykh 'Ali,A,-3500,-1200,2300,24
193,Al-Hirbat al-Garbiyya,A,-2500,-2100,400,22
193,Al-Hirbat al-Garbiyya,B,-1800,-1600,200,22
194,Tall Stib,A,-2500,-1600,900,23.7
194,Tall Stib,B,-1200,-1000,200,23.7
195,Abu Harba,A,-2500,-1600,900,10.6
196,Tall Halawa 1 and 2,A,-3000,-2500,500,27.5
196,Tall Halawa 1 and 2,A,-2500,-1800,700,3.4
196,Tall Halawa 1 and 2,B,-1200,-1000,200,30.9
197,Rajm al-Sawan,A,-2500,-1200,1300,12
199,Rasm al-Hammam,A,-2500,-2050,450,10
199,Rasm al-Hammam,B,-1600,-1200,400,10
200,Tell Abu-Maria,A,-3500,-2450,1050,16
200,Tell Abu-Maria,B,-2000,-1450,550,16
203,Ashara,A,-3000,-1200,1800,9.8
204,Tell Habuba Kabira and Habuba Kabira South,A,-3200,-2000,1200,18
207,Tell al-Sabkha,A,-3500,-1250,2250,19.2
208,Tell as-Sus,A,-2400,-1000,1400,12.4
211,Tell Berne,A,-4000,-2000,2000,15
213,Tell Fekheriye,A,-1500,-1400,100,5
213,Tell Fekheriye,A,-1400,-1000,400,14.9
215,Tell Marrak,A,-2900,-1600,1300,18
216,Koberlik,A,-2900,-2000,900,25.4
216,Koberlik,B,-1200,-1000,200,25.4
217,Tell Matin,A,-2900,-2000,900,63
217,Tell Matin,B,-1200,-1000,200,63
218,Tell Glai'a,A,-3000,-2000,1000,16
220,Tell Mahalt ad Daru,A,-3000,-2000,1000,33
221,Agilah,A,-1900,-1650,250,31.87901
222,Tell Khansir,A,-2450,-2000,450,33
224,Tell Sha'ir,A,-3000,-2000,1000,18
225,Tell Zhamamak,A,-3000,-2000,1000,18
226,Msherifa,A,-3000,-2000,1000,13.7
227,Tell Dakhliz,A,-3000,-2000,1000,50.39753
229,Tell Hammam Gharbi,A,-2600,-2250,350,11
231,Basorin Hoyuk,A,-2000,-1200,800,10.6
232,Nervan Hoyuk,A,-2000,-1600,400,15
237,Oylum Hoyuk,A,-4000,-3500,500,18
237,Oylum Hoyuk,A,-3500,-2500,1000,13.6
237,Oylum Hoyuk,A,-2500,-1800,700,18
237,Oylum Hoyuk,A,-1800,-1000,800,13.6
239,Trafawi,A,-2900,-2250,650,10
240,Tuenan,A,-2900,-2250,650,12
241,Tiladir Tepe,A,-2500,-1500,1000,12.2
242,Horum Hoyuk,A,-2600,-1950,650,12
244,Tell Aamourine,A,-3000,-2000,1000,22
244,Tell Aamourine,B,-1100,-1000,100,22
245,Tell Dades,A,-2000,-1200,800,15
246,Tell Kufaifa,A,-3000,-2000,1000,34.2
