Site Occupation Location,Toponym,SubOc1,Period,Period No.,Period Start,Period End,Estimated Span,Mound Count
40HS6,Link Farm,A,Middle Mississippian,,1200,1400,80,3
40HY14,Obion,A,Early Mississippian,,1000,1200,80,7
40JE1,Fain's island,A,Late Dallas,,1400,1600,80,1
40JE10,Loy site/McBee,A,Dallas,,1300,1600,120,1
40JE2,Zimmerman's Island,A,Dallas,,1300,1600,120,1
40JK15,Flynn's Lick/ Smith Site No. 6,A,Thruston,,1250,1450,80,2
40KN23,Post Oak Island,A,Late Dallas,,1400,1600,80,1
40KN266,Caylor/Stratton,A,Late Dallas,,1400,1600,80,2
40KN43,Vance Mound/John Sevier,A,Dallas,,1300,1600,120,1
40KN55,Brakebill Mound,A,Late Dallas,,1400,1600,80,1
40LA17,no name,A,Jones Bayou,,1400,1550,60,1
40LA19,Dry Arm site,A,Jones Bayou,,1400,1550,60,1
40LA2,Porter site,A,Jones Bayou,,1400,1550,60,2
40LA3,no name,A,Middle Mississippian,,1200,1400,80,1
40LA3,no name,A,Late Mississippian,,1400,1600,80,1
40LA4,Jones Bayou,A,Jones Bayou,,1400,1550,60,1
40LA6,no name,A,Red-Filmed Horizon,,950,1050,40,6
40LA6,no name,B,Late Mississippian,,1400,1600,80,6
40LD17,Bussell Island/Lenoir Mounds 1 and 2,A,Martin Farm,,950,1050,40,2
40LD17,Bussell Island/Lenoir Mounds 1 and 2,B,Late Dallas,,1400,1600,80,2
40LD24,Bat Creek Mounds,A,Martin Farm,,950,1050,40,1
40LK1,Haynes,A,Middle Mississippian,,1200,1400,80,1
40LK10,Foxhole site,A,Red-Filmed Horizon,,950,1050,40,1
40LK2,no name,A,Middle Mississippian,,1200,1400,80,1
40LK3,no name,A,Stirling,,1050,1150,40,1
40MD85,Denmark mounds,A,Early Mississippian,,1000,1200,80,3
40MG31,Hiwassee Island,A,Early Hiwassee Island,,1050,1200,60,2
40MG31,Hiwassee Island,A,Late Hiwassee Island,,1200,1300,100,2
40MG31,Hiwassee Island,A,Dallas,,1300,1600,120,2
40MI2,Wilson/hudlow,A,Early Mississippian,,1000,1200,80,1
40MI2,Wilson/hudlow,B,Late Dallas,,1400,1600,80,1
40MI69,Long Island Mounds,A,Hiwassee Island,,1050,1300,100,3
40MI69,Long Island Mounds,B,Late Dallas,,1400,1600,80,3
40MI7,Bennett Place,A,Early Dallas,,1300,1400,40,3
40MR20,Martin Farm,A,Martin Farm,,950,1050,40,2
40MR20,Martin Farm,A,Hiwassee Island,,1050,1300,100,2
40MR27,Mayfield II,A,Hiwassee Island,,1050,1300,100,1
40MR6,Toqua,A,Middle Mississippian,,1200,1400,,2
40MR6,Toqua,A,Late Hiwassee Island,,1200,1300,40,2
40MR6,Toqua,A,Early Dallas,,1300,1400,100,2
40MR6,Toqua,A,Late Dallas,,1400,1600,80,2
40MR7,Citico/McSpaddin Mound No. 4,A,Late Dallas,,1400,1600,80,1
40MR75,Great Tellico,A,Late Dallas,,1400,1600,80,4
40OB1,Samburg,A,Red-Filmed Horizon,,950,1050,40,2
40OB112,no name,A,Red-Filmed Horizon,,950,1050,40,1
40OB122,no name,A,Red-Filmed Horizon,,950,1050,40,6
40OB2,Idlewilde Mounds,A,Early Mississippian,,1000,1200,80,2
40OB2,Idlewilde Mounds,A,Middle Mississippian,,1200,1400,80,2
40OB4,Kenton,A,Early Mississippian,,1000,1200,80,7
40OB6,Effigy Rabbit site,A,Red-Filmed Horizon,,950,1050,40,4
40PK16,Davis,A,Early Etowah,,1000,1075,75,1
40PK16,Davis,B,Lamar,,1350,1550,80,1
40PK265,Site 121,A,Late Dallas,,1400,1600,80,1
40PK3,Hiwassee Old Town/Great Hiwassee,A,Hiwassee Island,,1050,1300,100,1
40PK3,Hiwassee Old Town/Great Hiwassee,A,Dallas,,1300,1600,120,1
40RE1,R.H. Bell,A,Dallas,,1300,1600,120,7
40RE12,DeArmond,A,Hamilton Burial Complex,,700,1000,120,1
40RE12,DeArmond,B,Hiwassee Island,,1050,1300,100,1
40RE12,DeArmond,B,Late Hiwassee Island,,1200,1300,,1
