Site Occupation Location,Site Component,SubOc1,Period,Period No.,Period Start,Period End,Estimated Span,Area (ha),Population
583,SVP-LSUCH-121,A,Late Suchimancillo,5,100,500,133.3333333,2.25,35
586,SVP-CAY-41,A,Cayhuamarca,2,-1800,-500,433.3333333,1.5,75
586,SVP-ESUCH-101,B,Early Suchimancillo,4,-100,100,66.66666667,1.25,65
587,SVP-GUAD-39,A,Guadalupito,6,300,750,150,2.5,250
589,SVP-ESUCH-98,A,Early Suchimancillo,4,-100,100,66.66666667,4,100
589,SVP-LSUCH-119,A,Late Suchimancillo,5,100,500,133.3333333,3.6,180
589,SVP-LTAN-41,C,Late Tanguche,8,900,1100,66.66666667,15.1,755
589,SVP-ETR-21,C,Early Tambo Real,9,1100,1470,123.3333333,3.4,325
591,SVP-GUAD-21,A,Guadalupito,6,300,750,150,2.7,150
592,SVP-LSUCH-130,A,Late Suchimancillo,5,100,500,133.3333333,2.25,35
593,SVP-GUAD-27,A,Guadalupito,6,300,750,150,0.5,10
594,SVP-GUAD-199,A,Guadalupito,6,300,750,150,1.6,160
600,SVP-SAL-12,A,Las Salinas,1,-3000,-1800,400,1,25
602,SVP-GUAD-20,A,Guadalupito,6,300,750,150,7.2,450
603,SVP-CAY-39,A,Cayhuamarca,2,-1800,-500,433.3333333,1,15
603,SVP-VIN-27,A,Vinzos,3,-500,-100,400,1,15
603,SVP-ESUCH-99,A,Early Suchimancillo,4,-100,100,66.66666667,1,15
604,SVP-GUAD-198,A,Guadalupito,6,300,750,150,2.4,240
605,SVP-GUAD-40,A,Guadalupito,6,300,750,150,0.25,5
606,SVP-GUAD-197,A,Guadalupito,6,300,750,150,2.75,275
607,SVP-LSUCH-129,A,Late Suchimancillo,5,100,500,133.3333333,0.9,15
608,SVP-ETR-20,A,Early Tambo Real,9,1100,1470,123.3333333,1.6,160
612,SVP-ESUCH-93,A,Early Suchimancillo,4,-100,100,66.66666667,2.25,175
612,SVP-ETAN-85,B,Early Tanguche,7,750,900,50,1.6,160
613,SVP-LTAN-39,B,Late Tanguche,8,900,1100,66.66666667,1.6,80
614,SVP-ESUCH-86,A,Early Suchimancillo,4,-100,100,66.66666667,0.9,15
615,SVP-GUAD-190,A,Guadalupito,6,300,750,150,2.75,275
616,SVP-CAY-38,A,Cayhuamarca,2,-1800,-500,433.3333333,0.25,15
616,SVP-ESUCH-97,B,Early Suchimancillo,4,-100,100,66.66666667,0.25,15
617,SVP-ESUCH-88,A,Early Suchimancillo,4,-100,100,66.66666667,1.5,375
618,SVP-VIN-26,A,Vinzos,3,-500,-100,133.3333333,6.75,490
618,SVP-ESUCH-89,A,Early Suchimancillo,4,-100,100,200,6.2,450
618,SVP-LSUCH-112,A,Late Suchimancillo,5,100,500,133.3333333,7,490
619,SVP-GUAD-186,A,Guadalupito,6,300,750,150,2,200
620,SVP-GUAD-184,A,Guadalupito,6,300,750,150,1.2,120
622,SVP-GUAD-185,A,Guadalupito,6,300,750,150,1.6,100
624,SVP-LTR-7,A,Late Tambo Real,10,1470,1532,20.66666667,0.5,25
625,SVP-ETAN-70,A,Early Tanguche,7,750,900,50,0.75,15
626,SVP-ESUCH-87,A,Early Suchimancillo,4,-100,100,66.66666667,1,100
627,SVP-GUAD-181,A,Guadalupito,6,300,750,150,3.6,360
628,SVP-LSUCH-110,A,Late Suchimancillo,5,100,500,133.3333333,1.25,50
628,SVP-GUAD-13,A,Guadalupito,6,300,750,150,0.25,25
629,SVP-GUAD-180,A,Guadalupito,6,300,750,150,2,200
630,SVP-LSUCH-109,A,Late Suchimancillo,5,100,500,133.3333333,1.6,400
631,SVP-ESUCH-92,A,Early Suchimancillo,4,-100,100,66.66666667,3.4,85
631,SVP-LSUCH-115,A,Late Suchimancillo,5,100,500,133.3333333,5.7,50
632,SVP-ETAN-69,A,Early Tanguche,7,750,900,50,0.5,50
633,SVP-CAY-37,A,Cayhuamarca,2,-1800,-500,433.3333333,0.25,5
634,SVP-ETAN-68,A,Early Tanguche,7,750,900,50,1,15
635,SVP-CAY-36,A,Cayhuamarca,2,-1800,-500,433.3333333,1.5,150
636,SVP-ETAN-405,A,Early Tanguche,7,750,900,50,0.5,25
637,SVP-ETAN-67,A,Early Tanguche,7,750,900,50,0.25,5
638,SVP-ETAN-66,A,Early Tanguche,7,750,900,50,0.25,5
639,SVP-ESUCH-85,A,Early Suchimancillo,4,-100,100,66.66666667,0.25,5
640,SVP-ETAN-65,A,Early Tanguche,7,750,900,50,1,15
641,SVP-ETAN-74,A,Early Tanguche,7,750,900,50,1.4,140
642,SVP-ETAN-356,A,Early Tanguche,7,750,900,50,1,20
643,SVP-SAL-11,A,Las Salinas,1,-3000,-1800,400,2,60
644,SVP-LSUCH-108,A,Late Suchimancillo,5,100,500,133.3333333,6.75,675
644,SVP-GUAD-12,A,Guadalupito,6,300,750,150,5,500
645,SVP-ETAN-355,A,Early Tanguche,7,750,900,50,0.8,10
648,SVP-CAY-40,A,Cayhuamarca,2,-1800,-500,433.3333333,1,100
648,SVP-VIN-28,A,Vinzos,3,-500,-100,400,1,100
648,SVP-ESUCH-100,A,Early Suchimancillo,4,-100,100,200,1,100
648,SVP-LSUCH-120,A,Late Suchimancillo,5,100,500,133.3333333,1.4,20
649,SVP-ETAN-354,A,Early Tanguche,7,750,900,50,1.5,30
650,SVP-CAY-35,A,Cayhuamarca,2,-1800,-500,433.3333333,6.25,625
651,SVP-ETAN-64,A,Early Tanguche,7,750,900,50,2.7,40
652,SVP-ETAN-71,A,Early Tanguche,7,750,900,50,2.7,135
